"plot_ID","habitat_type","month","rainfall_mm","worm_diversity","worm_abundance"
1,"Forest",6,47.1,4,121
2,"Forest",6,32.1,2,70
3,"Forest",7,54,1,55
4,"Forest",7,39.3,4,102
5,"Forest",5,47.2,2,129
6,"Forest",5,79.7,8,149
7,"Forest",7,60.7,3,140
8,"Forest",6,26.4,2,112
9,"Forest",5,66,5,113
10,"Forest",7,90.9,6,109
11,"Forest",7,10.8,3,54
12,"Forest",6,51.7,6,112
13,"Forest",7,73.9,4,130
14,"Forest",5,52.5,2,44
15,"Forest",5,43.1,6,84
16,"Forest",6,28.6,2,107
17,"Forest",7,51.4,9,130
18,"Forest",6,34,3,88
19,"Forest",5,22.4,1,101
20,"Forest",7,37.5,4,76
21,"Forest",5,31.4,4,72
22,"Forest",7,51,3,76
23,"Forest",5,46,5,138
24,"Forest",6,24.6,8,123
25,"Forest",7,54.7,9,72
26,"Forest",6,49.8,4,132
27,"Forest",6,65.9,9,112
28,"Forest",6,49,4,98
29,"Forest",7,59.5,4,114
30,"Forest",5,71.6,3,126
31,"Farmland",7,50.2,3,110
32,"Farmland",5,39.9,4,122
33,"Farmland",7,83.2,4,106
34,"Farmland",6,56,8,119
35,"Farmland",5,66.1,5,68
36,"Farmland",6,37.8,7,90
37,"Farmland",6,48.5,1,51
38,"Farmland",5,51.2,2,94
39,"Farmland",6,41.9,1,85
40,"Farmland",5,58.1,1,64
41,"Farmland",7,67.3,1,58
42,"Farmland",5,59.8,2,74
43,"Farmland",5,12.6,5,43
44,"Farmland",6,58.7,1,72
45,"Farmland",5,66.6,2,70
46,"Farmland",5,65.8,1,118
47,"Farmland",5,20.6,5,61
48,"Farmland",6,24.8,1,124
49,"Farmland",7,44.6,3,130
50,"Farmland",5,94.2,5,121
51,"Farmland",7,51.9,2,56
52,"Farmland",7,53,7,121
53,"Farmland",6,57.2,1,100
54,"Farmland",5,20.5,4,38
55,"Farmland",7,58.9,3,38
56,"Farmland",5,61.8,8,114
57,"Farmland",5,75.7,2,56
58,"Farmland",7,38.6,1,70
59,"Farmland",7,48.3,3,98
60,"Farmland",5,38.5,2,14
61,"Garden",7,69.4,3,125
62,"Garden",7,87.5,2,91
63,"Garden",6,27.1,1,116
64,"Garden",6,35.2,4,100
65,"Garden",7,32.1,3,85
66,"Garden",7,49.8,7,91
67,"Garden",7,41.1,3,83
68,"Garden",7,72.1,3,139
69,"Garden",7,62.8,3,95
70,"Garden",7,52.1,5,126
71,"Garden",5,58,5,85
72,"Garden",7,56.7,5,150
73,"Garden",5,59.5,2,131
74,"Garden",7,79.3,9,150
75,"Garden",5,59.7,7,134
76,"Garden",6,53.2,5,85
77,"Garden",7,45.6,2,40
78,"Garden",7,80.7,4,122
79,"Garden",6,44.4,8,84
80,"Garden",5,68.9,4,133
81,"Garden",5,62.3,5,90
82,"Garden",5,54.7,9,111
83,"Garden",6,60.3,7,90
84,"Garden",6,35.6,4,80
85,"Garden",7,48.7,5,83
86,"Garden",7,44.1,5,78
87,"Garden",6,23.7,2,63
88,"Garden",6,57.2,2,73
89,"Garden",7,46.3,2,102
90,"Garden",7,55.4,6,84
91,"Unknown",6,51.4,4,36
92,"Unknown",5,64.4,3,115
